date,value,cash,holdings_value,shares
2022-06-21 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-06-22 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-06-23 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-06-24 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-06-27 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-06-28 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-06-29 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-06-30 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-07-01 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-07-05 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-07-06 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-07-07 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-07-08 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-07-11 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-07-12 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-07-13 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-07-14 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-07-15 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-07-18 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-07-19 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-07-20 04:00:00,33002.450562300015,1738.5737623000132,31263.8768,208
2022-07-21 04:00:00,33474.34016230001,1738.5737623000132,31735.766399999997,208
2022-07-22 04:00:00,33216.940162300016,1738.5737623000132,31478.3664,208
2022-07-25 04:00:00,32984.06336230002,1738.5737623000132,31245.4896,208
2022-07-26 04:00:00,32708.25536230001,1738.5737623000132,30969.681599999996,208
2022-07-27 04:00:00,33768.51456230001,1738.5737623000132,32029.940800000004,208
2022-07-28 04:00:00,33882.91456230001,1738.5737623000132,32144.340799999998,208
2022-07-29 04:00:00,34937.01696230001,1738.5737623000132,33198.4432,208
2022-08-01 04:00:00,34732.74016230002,1738.5737623000132,32994.1664,208
2022-08-02 04:00:00,34426.31456230002,1738.5737623000132,32687.7408,208
2022-08-03 04:00:00,35676.54016230001,1738.5737623000132,33937.9664,208
2022-08-04 04:00:00,35611.16576230001,1738.5737623000132,33872.592,208
2022-08-05 04:00:00,35564.11616230002,1738.5737623000132,33825.542400000006,208
2022-08-08 04:00:00,35465.91936230002,1738.5737623000132,33727.3456,208
2022-08-09 04:00:00,35476.15296230001,1738.5737623000132,33737.5792,208
2022-08-10 04:00:00,36359.882562300016,1738.5737623000132,34621.3088,208
2022-08-11 04:00:00,36206.46176230002,1738.5737623000132,34467.888000000006,208
2022-08-12 04:00:00,36944.96576230001,1738.5737623000132,35206.392,208
2022-08-15 04:00:00,37167.941762300004,1738.5737623000132,35429.367999999995,208
2022-08-16 04:00:00,37135.20256230001,1738.5737623000132,35396.6288,208
2022-08-17 04:00:00,37446.162562300015,1738.5737623000132,35707.5888,208
2022-08-18 04:00:00,37364.335362300015,1738.5737623000132,35625.761600000005,208
2022-08-19 04:00:00,36826.30176230002,1738.5737623000132,35087.728,208
2022-08-22 04:00:00,36018.263362300015,1738.5737623000132,34279.6896,208
2022-08-23 04:00:00,35948.70816230001,1738.5737623000132,34210.1344,208
2022-08-24 04:00:00,36010.06816230001,1738.5737623000132,34271.494399999996,208
2022-08-25 04:00:00,36521.49856230001,1738.5737623000132,34782.92479999999,208
2022-08-26 04:00:00,35210.20416230001,1738.5737623000132,33471.6304,208
2022-08-29 04:00:00,34751.98016230001,1738.5737623000132,33013.4064,208
2022-08-30 04:00:00,34246.68576230001,1738.5737623000132,32508.111999999997,208
2022-08-31 04:00:00,33900.968962300016,1738.5737623000132,32162.395200000003,208
2022-09-01 04:00:00,34052.35136230002,1738.5737623000132,32313.7776,208
2022-09-02 04:00:00,33612.51456230001,1738.5737623000132,31873.940800000004,208
2022-09-06 04:00:00,33350.684162300015,1738.5737623000132,31612.1104,208
2022-09-07 04:00:00,33643.21536230001,1738.5737623000132,31904.6416,208
2022-09-08 04:00:00,33336.35296230001,1738.5737623000132,31597.779199999997,208
2022-09-09 04:00:00,33931.648962300016,1738.5737623000132,32193.075200000003,208
2022-09-12 04:00:00,35171.349762300015,1738.5737623000132,33432.776,208
2022-09-13 04:00:00,33209.51456230001,1738.5737623000132,31470.940800000004,208
2022-09-14 04:00:00,33510.24096230001,1738.5737623000132,31771.6672,208
2022-09-15 04:00:00,32908.80896230001,1738.5737623000132,31170.2352,208
2022-09-16 04:00:00,32567.168962300017,1738.5737623000132,30828.595200000003,208
2022-09-19 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-09-20 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-09-21 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-09-22 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-09-23 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-09-26 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-09-27 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-09-28 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-09-29 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-09-30 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-10-03 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-10-04 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-10-05 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-10-06 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-10-07 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-10-10 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-10-11 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-10-12 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-10-13 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-10-14 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-10-17 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-10-18 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-10-19 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-10-20 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-10-21 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-10-24 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-10-25 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-10-26 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-10-27 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-10-28 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-10-31 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-11-01 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-11-02 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-11-03 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-11-04 04:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-11-07 05:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-11-08 05:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-11-09 05:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-11-10 05:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-11-11 05:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-11-14 05:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-11-15 05:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-11-16 05:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-11-17 05:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-11-18 05:00:00,33308.84868550001,33308.84868550001,0.0,0
2022-11-21 05:00:00,33277.20787210001,1636.3944721000044,31640.813400000003,217
2022-11-22 05:00:00,33741.1104721,1636.3944721000044,32104.716,217
2022-11-23 05:00:00,33931.37607210001,1636.3944721000044,32294.981600000003,217
2022-11-25 05:00:00,33298.6040721,1636.3944721000044,31662.209600000002,217
2022-11-28 05:00:00,32467.016672100006,1636.3944721000044,30830.6222,217
2022-11-29 05:00:00,31784.818169800004,31784.818169800004,0.0,0
2022-11-30 05:00:00,31784.818169800004,31784.818169800004,0.0,0
2022-12-01 05:00:00,31754.720375000004,1656.9255750000084,30097.794799999996,206
2022-12-02 05:00:00,31653.26537500001,1656.9255750000084,29996.3398,206
2022-12-05 05:00:00,31413.790375000004,1656.9255750000084,29756.864799999996,206
2022-12-06 05:00:00,30658.86217500001,1656.9255750000084,29001.9366,206
2022-12-07 05:00:00,30259.07797500001,1656.9255750000084,28602.152400000003,206
